Date,Adj Close,Close,High,Low,Open,Volume,MA_50,MA_200,Daily_Return,Year,Month,Volatility_30d
1/4/2016,13.82,13.82,14.10,13.82,14.10,27.00,,,,2016,1,
1/5/2016,13.95,13.95,13.95,13.95,13.95,4.00,,,0.96,2016,1,
1/6/2016,13.96,13.96,14.06,13.96,14.00,105.00,,,0.06,2016,1,
1/7/2016,14.34,14.34,14.34,14.33,14.34,286.00,,,2.71,2016,1,
1/8/2016,13.91,13.91,14.06,13.91,14.06,6.00,,,-2.98,2016,1,
1/11/2016,13.85,13.85,14.01,13.85,13.95,17.00,,,-0.38,2016,1,
1/12/2016,13.74,13.74,13.86,13.71,13.86,15.00,,,-0.83,2016,1,
1/13/2016,14.15,14.15,14.15,13.85,13.85,17.00,,,2.95,2016,1,
1/14/2016,13.74,13.74,13.74,13.74,13.74,1.00,,,-2.88,2016,1,
1/15/2016,13.88,13.88,13.88,13.88,13.88,0.00,,,1.07,2016,1,
1/19/2016,14.11,14.11,14.11,14.06,14.06,3.00,,,1.63,2016,1,
1/20/2016,14.15,14.15,14.15,14.15,14.15,1.00,,,0.26,2016,1,
1/21/2016,14.08,14.08,14.08,14.08,14.08,2.00,,,-0.45,2016,1,
1/22/2016,14.04,14.04,14.29,14.04,14.29,7.00,,,-0.28,2016,1,
1/25/2016,14.24,14.24,14.24,14.10,14.10,8.00,,,1.40,2016,1,
1/26/2016,14.54,14.54,14.54,14.39,14.39,1.00,,,2.13,2016,1,
1/27/2016,14.44,14.44,14.44,14.44,14.44,53.00,,,-0.72,2016,1,
1/28/2016,14.22,14.22,14.35,14.22,14.35,27.00,,,-1.55,2016,1,
1/29/2016,14.23,14.23,14.27,14.23,14.23,27.00,,,0.09,2016,1,
2/1/2016,14.33,14.33,14.37,14.23,14.24,9.00,,,0.70,2016,2,
2/2/2016,14.28,14.28,14.28,14.26,14.26,2.00,,,-0.37,2016,2,
2/3/2016,14.72,14.72,14.77,14.40,14.40,47.00,,,3.11,2016,2,
2/4/2016,14.84,14.84,14.90,14.73,14.77,23.00,,,0.79,2016,2,
2/5/2016,14.76,14.76,14.90,14.73,14.86,7.00,,,-0.49,2016,2,
2/8/2016,15.42,15.42,15.42,14.91,14.91,62.00,,,4.42,2016,2,
2/9/2016,15.44,15.44,15.44,15.34,15.39,18.00,,,0.18,2016,2,
2/10/2016,15.28,15.28,15.30,15.28,15.28,3.00,,,-1.08,2016,2,
2/11/2016,15.79,15.79,15.79,15.30,15.30,58.00,,,3.35,2016,2,
2/12/2016,15.78,15.78,15.78,15.73,15.73,2.00,,,-0.03,2016,2,
2/16/2016,15.33,15.33,15.39,15.33,15.39,7.00,,,-2.89,2016,2,
2/17/2016,15.37,15.37,15.37,15.37,15.37,0.00,,,0.28,2016,2,28.87
2/18/2016,15.43,15.43,15.43,15.43,15.43,0.00,,,0.36,2016,2,28.82
2/19/2016,15.37,15.37,15.37,15.37,15.37,1.00,,,-0.38,2016,2,28.89
2/22/2016,15.18,15.18,15.18,15.18,15.18,1.00,,,-1.23,2016,2,28.33
2/23/2016,15.23,15.23,15.23,15.23,15.23,0.00,,,0.37,2016,2,26.67
2/24/2016,15.29,15.29,15.29,15.29,15.29,1.00,,,0.37,2016,2,26.59
2/25/2016,15.16,15.16,15.19,15.16,15.19,68976.00,,,-0.83,2016,2,26.59
2/26/2016,14.69,14.69,15.23,14.68,15.14,23335.00,,,-3.14,2016,2,27.25
2/29/2016,14.90,14.90,14.93,14.61,14.73,1598.00,,,1.41,2016,2,25.92
3/1/2016,14.73,14.73,15.04,14.73,14.93,921.00,,,-1.09,2016,3,26.11
3/2/2016,15.00,15.00,15.00,14.76,14.81,809.00,,,1.83,2016,3,26.21
3/3/2016,15.13,15.13,15.33,14.92,14.94,678.00,,,0.85,2016,3,26.27
3/4/2016,15.68,15.68,15.78,15.14,15.22,912.00,,,3.63,2016,3,27.96
3/7/2016,15.62,15.62,15.80,15.52,15.57,933.00,,,-0.37,2016,3,27.98
3/8/2016,15.38,15.38,15.75,15.36,15.71,906.00,,,-1.53,2016,3,28.33
3/9/2016,15.35,15.35,15.40,15.19,15.39,163.00,,,-0.19,2016,3,27.79
3/10/2016,15.55,15.55,15.63,15.18,15.31,571.00,,,1.24,2016,3,27.82
3/11/2016,15.61,15.61,15.66,15.55,15.60,379.00,,,0.39,2016,3,27.28
3/14/2016,15.52,15.52,15.80,15.37,15.55,276.00,,,-0.57,2016,3,27.40
3/15/2016,15.26,15.26,15.41,15.24,15.39,259.00,14.77605999,,-1.69,2016,3,27.97
3/16/2016,15.21,15.21,15.66,15.21,15.27,167.00,14.80399998,,-0.27,2016,3,27.95
3/17/2016,16.02,16.02,16.03,15.60,15.63,382.00,14.84545996,,5.31,2016,3,30.53
3/18/2016,15.81,15.81,16.15,15.81,16.08,118.00,14.88243996,,-1.35,2016,3,30.86
3/21/2016,15.84,15.84,15.86,15.75,15.80,21.00,14.91255995,,0.22,2016,3,30.79
3/22/2016,15.88,15.88,15.95,15.85,15.95,45.00,14.95193995,,0.23,2016,3,28.15
3/23/2016,15.26,15.26,15.50,15.26,15.50,215.00,14.98009995,,-3.87,2016,3,30.42
3/24/2016,15.19,15.19,15.31,15.18,15.29,73.00,15.00911995,,-0.47,2016,3,30.28
3/28/2016,15.19,15.19,15.32,15.18,15.18,91.00,15.03009995,,0.02,2016,3,28.57
3/29/2016,15.24,15.24,15.24,15.11,15.11,60.00,15.06009995,,0.28,2016,3,28.59
3/30/2016,15.21,15.21,15.36,15.21,15.36,36.00,15.08653996,,-0.20,2016,3,27.35
3/31/2016,15.46,15.46,15.46,15.42,15.42,39.00,15.11353996,,1.67,2016,3,27.77
4/1/2016,15.04,15.04,15.04,15.04,15.04,4.00,15.13143995,,-2.70,2016,4,28.86
4/4/2016,14.94,14.94,15.02,14.94,15.02,4.00,15.14861996,,-0.66,2016,4,28.89
4/5/2016,15.11,15.11,15.11,15.11,15.11,8.00,15.17003996,,1.15,2016,4,28.89
4/6/2016,15.05,15.05,15.05,15.05,15.05,12.00,15.18627996,,-0.41,2016,4,28.90
4/7/2016,15.16,15.16,15.16,15.16,15.16,12.00,15.19851997,,0.69,2016,4,28.95
